,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
96,grindavik,63.8424,-22.4338,37.4,75,90,26.46,IS
97,sao joao da barra,-21.6403,-41.0511,76.15,84,100,13.06,BR
98,atasu,48.6814,71.6433,14.45,88,0,2.37,KZ
99,paka,4.6374,103.4368,82.4,83,40,1.14,MY
100,podor,16.6527,-14.9587,68.0,49,0,2.3,MR
101,cape town,-33.9258,18.4232,73.99,88,75,18.41,ZA
102,bluff,-46.6,168.3333,57.99,74,0,8.01,NZ
103,concordia,-31.393,-58.0209,70.0,91,100,5.99,AR
104,mantsala,60.6609,25.2838,-5.8,92,75,3.44,FI
105,beian,63.6559,9.5683,30.2,59,0,19.57,NO
106,puerto carreno,6.189,-67.4859,78.78,59,65,7.05,CO
107,georgetown,5.4112,100.3354,89.6,62,20,10.36,MY
108,hobart,-42.8794,147.3294,71.01,40,0,14.97,AU
109,three hills,51.7001,-113.2686,-9.4,70,91,20.71,CA
110,arraial do cabo,-22.9661,-42.0278,75.74,88,100,14.16,BR
111,aklavik,68.2191,-135.0107,1.4,71,20,4.61,CA
112,hasaki,35.7333,140.8333,54.0,50,75,8.05,JP
113,pangnirtung,66.1451,-65.7125,-14.91,83,90,1.03,CA
114,alta floresta,-9.8756,-56.0861,70.38,98,95,1.7,BR
115,ostrovnoy,68.0531,39.5131,6.22,93,100,6.29,RU
116,revelstoke,50.9832,-118.2023,3.2,72,1,2.3,CA
117,ilulissat,69.2167,-51.1,6.8,66,0,6.91,GL
118,pochutla,15.7432,-96.4661,70.0,84,1,3.0,MX
119,barrow,71.2906,-156.7887,-29.2,79,90,6.91,US
120,pangoa,-12.1167,-73.0,65.97,96,100,2.24,PE
121,fukuma,33.7667,130.4667,63.0,41,0,6.91,JP
122,kavieng,-2.5744,150.7967,83.46,74,57,9.6,PG
123,severo-kurilsk,50.6789,156.125,28.8,93,100,1.66,RU
124,bilma,18.6853,12.9164,66.24,24,0,9.17,NE
125,port elizabeth,-33.918,25.5701,78.8,78,0,8.05,ZA
126,lorengau,-2.0226,147.2712,84.67,76,45,8.16,PG
127,mocuba,-16.8392,36.9856,81.14,86,100,6.2,MZ
128,umm kaddadah,13.6017,26.6876,78.8,20,11,18.25,SD
129,zhigansk,66.7697,123.3711,-4.09,91,100,7.16,RU
130,yellowknife,62.456,-114.3525,-15.0,83,1,4.61,CA
131,nome,64.5011,-165.4064,15.8,86,90,25.32,US
132,raudeberg,61.9875,5.1352,24.01,47,0,8.48,NO
133,norman wells,65.282,-126.8329,-14.8,76,20,4.61,CA
134,zwolle,52.5126,6.0936,18.0,88,0,1.99,NL
135,saint-philippe,-21.3585,55.7679,88.0,62,0,28.77,RE
136,kapaa,22.0752,-159.319,66.2,82,1,8.05,US
137,hilo,19.7297,-155.09,69.8,78,75,7.18,US
138,luderitz,-26.6481,15.1594,65.61,83,94,5.77,NA
139,ambon,-3.6954,128.1814,87.8,74,40,9.22,ID
140,senno,59.5336,33.9167,-7.8,90,0,3.91,RU
141,vao,-22.6667,167.4833,77.95,75,5,4.27,NC
142,makinsk,52.6292,70.4169,4.15,93,70,5.95,KZ
143,dwarka,22.2394,68.9678,79.93,32,0,5.88,IN
144,shingu,33.7333,135.9833,57.2,58,75,3.44,JP
145,souillac,-20.5167,57.5167,84.2,70,40,12.66,MU
146,warri,5.5167,5.75,80.6,83,0,5.37,NG
147,port alfred,-33.5906,26.891,82.42,57,96,0.47,ZA
148,namtsy,62.7161,129.6658,-7.6,84,0,2.04,RU
149,kununurra,-15.7667,128.7333,93.2,62,75,9.22,AU
150,havelock,34.8791,-76.9013,43.0,100,90,17.27,US
151,yaounde,3.8667,11.5167,73.87,82,98,2.51,CM
152,baghdad,33.3406,44.4009,62.6,59,0,5.75,IQ
153,bafra,41.5678,35.9069,68.0,24,0,6.91,TR
154,hambantota,6.1241,81.1185,87.8,58,20,5.75,LK
155,saint george,37.1041,-113.5841,57.0,43,90,5.75,US
156,qaanaaq,77.484,-69.3632,7.99,72,0,8.5,GL
157,touba,8.2833,-7.6833,69.62,90,35,5.79,CI
158,havre-saint-pierre,50.2334,-63.5986,24.8,68,90,12.66,CA
159,aguimes,27.9054,-15.4461,62.6,82,75,12.66,ES
160,todos santos,23.45,-110.2167,62.01,83,0,1.99,MX
161,batemans bay,-35.7167,150.1833,69.01,90,27,8.41,AU
162,faanui,-16.4833,-151.75,81.57,71,0,8.43,PF
163,acarau,-2.8856,-40.12,78.15,85,22,10.6,BR
164,namibe,-15.1961,12.1522,76.01,67,84,9.37,AO
165,kirensk,57.7853,108.1119,-0.81,86,99,6.04,RU
166,mbandaka,0.0487,18.2603,80.67,61,0,5.26,CD
167,fort frances,48.5999,-93.4003,-16.6,76,90,4.61,CA
168,fukue,32.6881,128.8419,57.2,58,0,6.91,JP
169,tonj,7.2737,28.6822,86.38,14,0,5.32,SS
170,le pradet,43.1066,6.0172,50.0,70,0,3.44,FR
